,title,actor,year,rating
0,Disaster Movie,"Jason Friedberg (dir.), Carmen Electra, Vanessa Lachey",2008,2.1
1,Manos: The Hands of Fate,"Harold P. Warren (dir.), Tom Neyman, John Reynolds",1966,2.2
2,Birdemic: Shock and Terror,"James Nguyen (dir.), Alan Bagh, Whitney Moore",2010,2.3
3,Superbabies: Baby Geniuses 2,"Bob Clark (dir.), Jon Voight, Scott Baio",2004,2.3
4,The Hottie & the Nottie,"Tom Putnam (dir.), Paris Hilton, Joel David Moore",2008,2.4
5,House of the Dead,"Uwe Boll (dir.), Jonathan Cherry, Tyron Leitso",2003,2.5
6,Son of the Mask,"Lawrence Guterman (dir.), Jamie Kennedy, Traylor Howard",2005,2.5
7,Saving Christmas,"Darren Doane (dir.), Kirk Cameron, Darren Doane",2014,2.5
8,Epic Movie,"Jason Friedberg (dir.), Kal Penn, Jennifer Coolidge",2007,2.5
9,Battlefield Earth,"Roger Christian (dir.), John Travolta, Forest Whitaker",2000,2.6
10,Pledge This!,"William Heins (dir.), Paris Hilton, Simon Rex",2006,2.7
11,Alone in the Dark,"Uwe Boll (dir.), Christian Slater, Tara Reid",2005,2.7
12,Radhe,"Prabhu Deva (dir.), Salman Khan, Disha Patani",2021,2.7
13,Dragonball Evolution,"James Wong (dir.), Justin Chatwin, James Marsters",2009,2.8
14,From Justin to Kelly,"Robert Iscove (dir.), Kelly Clarkson, Justin Guarini",2003,2.8
15,Going Overboard,"Valerie Breiman (dir.), Adam Sandler, Billy Bob Thornton",1989,2.9
16,Meet the Spartans,"Jason Friedberg (dir.), Sean Maguire, Kevin Sorbo",2008,2.9
17,Race 3,"Remo D'Souza (dir.), Anil Kapoor, Salman Khan",2018,2.9
18,Dünyayi Kurtaran Adam'in Oglu,"Kartal Tibet (dir.), Cüneyt Arkin, Miraç Bayramoglu",2006,2.9
19,Gigli,"Martin Brest (dir.), Ben Affleck, Jennifer Lopez",2003,2.9
20,Foodfight!,"Lawrence Kasanoff (dir.), Hilary Duff, Haylie Duff",2012,2.9
21,Date Movie,"Aaron Seltzer (dir.), Alyson Hannigan, Adam Campbell",2006,3.0
22,Cats,"Tom Hooper (dir.), James Corden, Judi Dench",2019,3.0
23,Baby Geniuses,"Bob Clark (dir.), Kathleen Turner, Christopher Lloyd",1999,3.0
