,title,actor,year,rating
0,The Shawshank Redemption,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman",1994,9.3
1,The Godfather,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino",1972,9.2
2,The Dark Knight,"Christopher Nolan (dir.), Christian Bale, Heath Ledger",2008,9.0
3,The Godfather Part II,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro",1974,9.0
4,12 Angry Men,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb",1957,9.0
5,Schindler's List,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes",1993,9.0
6,The Lord of the Rings: The Return of the King,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen",2003,8.9
7,Pulp Fiction,"Quentin Tarantino (dir.), John Travolta, Uma Thurman",1994,8.9
8,The Lord of the Rings: The Fellowship of the Ring,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",2001,8.8
9,Forrest Gump,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright",1994,8.8
10,Fight Club,"David Fincher (dir.), Brad Pitt, Edward Norton",1999,8.8
11,Inception,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt",2010,8.8
12,The Lord of the Rings: The Two Towers,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",2002,8.8
13,The Empire Strikes Back,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford",1980,8.7
14,The Matrix,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne",1999,8.7
15,Goodfellas,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta",1990,8.7
16,One Flew Over the Cuckoo's Nest,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher",1975,8.7
17,It's a Wonderful Life,"Frank Capra (dir.), James Stewart, Donna Reed",1946,8.6
18,Se7en,"David Fincher (dir.), Morgan Freeman, Brad Pitt",1995,8.6
19,The Silence of the Lambs,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins",1991,8.6
20,Saving Private Ryan,"Steven Spielberg (dir.), Tom Hanks, Matt Damon",1998,8.6
21,Interstellar,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway",2014,8.6
22,The Green Mile,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan",1999,8.6
23,Star Wars,"George Lucas (dir.), Mark Hamill, Harrison Ford",1977,8.6
24,Terminator 2: Judgment Day,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",1991,8.6
25,Back to the Future,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd",1985,8.5
26,The Pianist,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann",2002,8.5
27,Psycho,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh",1960,8.5
28,Léon,"Luc Besson (dir.), Jean Reno, Gary Oldman",1994,8.5
29,The Lion King,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons",1994,8.5
30,Gladiator,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix",2000,8.5
31,American History X,"Tony Kaye (dir.), Edward Norton, Edward Furlong",1998,8.5
32,The Usual Suspects,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne",1995,8.5
33,The Departed,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon",2006,8.5
34,The Prestige,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman",2006,8.5
35,Modern Times,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",1936,8.5
36,Casablanca,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman",1942,8.5
37,Whiplash,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons",2014,8.5
38,Rear Window,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly",1954,8.5
39,Alien,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt",1979,8.5
40,Apocalypse Now,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando",1979,8.4
41,Memento,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss",2000,8.4
42,Django Unchained,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz",2012,8.4
43,Raiders of the Lost Ark,"Steven Spielberg (dir.), Harrison Ford, Karen Allen",1981,8.4
44,Sunset Blvd.,"Billy Wilder (dir.), William Holden, Gloria Swanson",1950,8.4
45,Witness for the Prosecution,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich",1957,8.4
46,WALL·E,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight",2008,8.4
47,Paths of Glory,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker",1957,8.4
48,The Great Dictator,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",1940,8.4
49,Avengers: Infinity War,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth",2018,8.4
50,The Shining,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall",1980,8.4
51,Spider-Man: Into the Spider-Verse,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson",2018,8.4
52,Aliens,"James Cameron (dir.), Sigourney Weaver, Michael Biehn",1986,8.4
53,The Dark Knight Rises,"Christopher Nolan (dir.), Christian Bale, Tom Hardy",2012,8.4
54,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott",1964,8.4
55,Top Gun: Maverick,"Joseph Kosinski (dir.), Tom Cruise, Jennifer Connelly",2022,8.4
56,American Beauty,"Sam Mendes (dir.), Kevin Spacey, Annette Bening",1999,8.3
57,Joker,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro",2019,8.3
58,Coco,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal",2017,8.3
59,Amadeus,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce",1984,8.3
60,Avengers: Endgame,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans",2019,8.3
61,Braveheart,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau",1995,8.3
62,Inglourious Basterds,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger",2009,8.3
63,Toy Story,"John Lasseter (dir.), Tom Hanks, Tim Allen",1995,8.3
64,Once Upon a Time in America,"Sergio Leone (dir.), Robert De Niro, James Woods",1984,8.3
