,title,actor,year,rating
0,The Shawshank Redemption,"Frank Darabont (dir.), Tim Robbins, Morgan Freeman",1994,9.2
1,The Godfather,"Francis Ford Coppola (dir.), Marlon Brando, Al Pacino",1972,9.2
2,The Dark Knight,"Christopher Nolan (dir.), Christian Bale, Heath Ledger",2008,9.0
3,The Godfather Part II,"Francis Ford Coppola (dir.), Al Pacino, Robert De Niro",1974,9.0
4,12 Angry Men,"Sidney Lumet (dir.), Henry Fonda, Lee J. Cobb",1957,9.0
5,Schindler's List,"Steven Spielberg (dir.), Liam Neeson, Ralph Fiennes",1993,8.9
6,The Lord of the Rings: The Return of the King,"Peter Jackson (dir.), Elijah Wood, Viggo Mortensen",2003,8.9
7,Pulp Fiction,"Quentin Tarantino (dir.), John Travolta, Uma Thurman",1994,8.8
8,The Lord of the Rings: The Fellowship of the Ring,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",2001,8.8
9,"Il buono, il brutto, il cattivo","Sergio Leone (dir.), Clint Eastwood, Eli Wallach",1966,8.8
10,Forrest Gump,"Robert Zemeckis (dir.), Tom Hanks, Robin Wright",1994,8.8
11,Fight Club,"David Fincher (dir.), Brad Pitt, Edward Norton",1999,8.7
12,Inception,"Christopher Nolan (dir.), Leonardo DiCaprio, Joseph Gordon-Levitt",2010,8.7
13,The Lord of the Rings: The Two Towers,"Peter Jackson (dir.), Elijah Wood, Ian McKellen",2002,8.7
14,The Empire Strikes Back,"Irvin Kershner (dir.), Mark Hamill, Harrison Ford",1980,8.7
15,The Matrix,"Lana Wachowski (dir.), Keanu Reeves, Laurence Fishburne",1999,8.7
16,Goodfellas,"Martin Scorsese (dir.), Robert De Niro, Ray Liotta",1990,8.7
17,One Flew Over the Cuckoo's Nest,"Milos Forman (dir.), Jack Nicholson, Louise Fletcher",1975,8.6
18,Se7en,"David Fincher (dir.), Morgan Freeman, Brad Pitt",1995,8.6
19,Shichinin no samurai,"Akira Kurosawa (dir.), Toshirô Mifune, Takashi Shimura",1954,8.6
20,It's a Wonderful Life,"Frank Capra (dir.), James Stewart, Donna Reed",1946,8.6
21,The Silence of the Lambs,"Jonathan Demme (dir.), Jodie Foster, Anthony Hopkins",1991,8.6
22,Cidade de Deus,"Fernando Meirelles (dir.), Alexandre Rodrigues, Leandro Firmino",2002,8.6
23,Saving Private Ryan,"Steven Spielberg (dir.), Tom Hanks, Matt Damon",1998,8.6
24,La vita è bella,"Roberto Benigni (dir.), Roberto Benigni, Nicoletta Braschi",1997,8.6
25,Interstellar,"Christopher Nolan (dir.), Matthew McConaughey, Anne Hathaway",2014,8.6
26,The Green Mile,"Frank Darabont (dir.), Tom Hanks, Michael Clarke Duncan",1999,8.6
27,Star Wars,"George Lucas (dir.), Mark Hamill, Harrison Ford",1977,8.6
28,Terminator 2: Judgment Day,"James Cameron (dir.), Arnold Schwarzenegger, Linda Hamilton",1991,8.5
29,Back to the Future,"Robert Zemeckis (dir.), Michael J. Fox, Christopher Lloyd",1985,8.5
30,Sen to Chihiro no kamikakushi,"Hayao Miyazaki (dir.), Daveigh Chase, Suzanne Pleshette",2001,8.5
31,Psycho,"Alfred Hitchcock (dir.), Anthony Perkins, Janet Leigh",1960,8.5
32,The Pianist,"Roman Polanski (dir.), Adrien Brody, Thomas Kretschmann",2002,8.5
33,Gisaengchung,"Bong Joon Ho (dir.), Song Kang-ho, Lee Sun-kyun",2019,8.5
34,Léon,"Luc Besson (dir.), Jean Reno, Gary Oldman",1994,8.5
35,The Lion King,"Roger Allers (dir.), Matthew Broderick, Jeremy Irons",1994,8.5
36,Gladiator,"Ridley Scott (dir.), Russell Crowe, Joaquin Phoenix",2000,8.5
37,American History X,"Tony Kaye (dir.), Edward Norton, Edward Furlong",1998,8.5
38,The Departed,"Martin Scorsese (dir.), Leonardo DiCaprio, Matt Damon",2006,8.5
39,The Usual Suspects,"Bryan Singer (dir.), Kevin Spacey, Gabriel Byrne",1995,8.5
40,The Prestige,"Christopher Nolan (dir.), Christian Bale, Hugh Jackman",2006,8.5
41,Whiplash,"Damien Chazelle (dir.), Miles Teller, J.K. Simmons",2014,8.5
42,Casablanca,"Michael Curtiz (dir.), Humphrey Bogart, Ingrid Bergman",1942,8.5
43,The Intouchables,"Olivier Nakache (dir.), François Cluzet, Omar Sy",2011,8.5
44,Seppuku,"Masaki Kobayashi (dir.), Tatsuya Nakadai, Akira Ishihama",1962,8.5
45,Hotaru no haka,"Isao Takahata (dir.), Tsutomu Tatsumi, Ayano Shiraishi",1988,8.5
46,Modern Times,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",1936,8.4
47,Once Upon a Time in the West,"Sergio Leone (dir.), Henry Fonda, Charles Bronson",1968,8.4
48,Rear Window,"Alfred Hitchcock (dir.), James Stewart, Grace Kelly",1954,8.4
49,City Lights,"Charles Chaplin (dir.), Charles Chaplin, Virginia Cherrill",1931,8.4
50,Alien,"Ridley Scott (dir.), Sigourney Weaver, Tom Skerritt",1979,8.4
51,Nuovo Cinema Paradiso,"Giuseppe Tornatore (dir.), Philippe Noiret, Enzo Cannavale",1988,8.4
52,Apocalypse Now,"Francis Ford Coppola (dir.), Martin Sheen, Marlon Brando",1979,8.4
53,Memento,"Christopher Nolan (dir.), Guy Pearce, Carrie-Anne Moss",2000,8.4
54,Raiders of the Lost Ark,"Steven Spielberg (dir.), Harrison Ford, Karen Allen",1981,8.4
55,Django Unchained,"Quentin Tarantino (dir.), Jamie Foxx, Christoph Waltz",2012,8.4
56,WALL·E,"Andrew Stanton (dir.), Ben Burtt, Elissa Knight",2008,8.4
57,The Lives of Others,"Florian Henckel von Donnersmarck (dir.), Ulrich Mühe, Martina Gedeck",2006,8.4
58,Sunset Blvd.,"Billy Wilder (dir.), William Holden, Gloria Swanson",1950,8.4
59,Paths of Glory,"Stanley Kubrick (dir.), Kirk Douglas, Ralph Meeker",1957,8.4
60,The Shining,"Stanley Kubrick (dir.), Jack Nicholson, Shelley Duvall",1980,8.4
61,The Great Dictator,"Charles Chaplin (dir.), Charles Chaplin, Paulette Goddard",1940,8.4
62,Witness for the Prosecution,"Billy Wilder (dir.), Tyrone Power, Marlene Dietrich",1957,8.4
63,Avengers: Infinity War,"Anthony Russo (dir.), Robert Downey Jr., Chris Hemsworth",2018,8.4
64,Aliens,"James Cameron (dir.), Sigourney Weaver, Michael Biehn",1986,8.3
65,American Beauty,"Sam Mendes (dir.), Kevin Spacey, Annette Bening",1999,8.3
66,Spider-Man: Into the Spider-Verse,"Bob Persichetti (dir.), Shameik Moore, Jake Johnson",2018,8.3
67,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,"Stanley Kubrick (dir.), Peter Sellers, George C. Scott",1964,8.3
68,The Dark Knight Rises,"Christopher Nolan (dir.), Christian Bale, Tom Hardy",2012,8.3
69,Oldeuboi,"Park Chan-wook (dir.), Choi Min-sik, Yoo Ji-tae",2003,8.3
70,Joker,"Todd Phillips (dir.), Joaquin Phoenix, Robert De Niro",2019,8.3
71,Amadeus,"Milos Forman (dir.), F. Murray Abraham, Tom Hulce",1984,8.3
72,Toy Story,"John Lasseter (dir.), Tom Hanks, Tim Allen",1995,8.3
73,Inglourious Basterds,"Quentin Tarantino (dir.), Brad Pitt, Diane Kruger",2009,8.3
74,Braveheart,"Mel Gibson (dir.), Mel Gibson, Sophie Marceau",1995,8.3
75,Coco,"Lee Unkrich (dir.), Anthony Gonzalez, Gael García Bernal",2017,8.3
76,Das Boot,"Wolfgang Petersen (dir.), Jürgen Prochnow, Herbert Grönemeyer",1981,8.3
77,Top Gun: Maverick,"Joseph Kosinski (dir.), Tom Cruise, Jennifer Connelly",2022,8.3
78,Avengers: Endgame,"Anthony Russo (dir.), Robert Downey Jr., Chris Evans",2019,8.3
79,Mononoke-hime,"Hayao Miyazaki (dir.), Yôji Matsuda, Yuriko Ishida",1997,8.3
80,Once Upon a Time in America,"Sergio Leone (dir.), Robert De Niro, James Woods",1984,8.3
81,Good Will Hunting,"Gus Van Sant (dir.), Robin Williams, Matt Damon",1997,8.3
82,Kimi no na wa.,"Makoto Shinkai (dir.), Ryûnosuke Kamiki, Mone Kamishiraishi",2016,8.3
83,Requiem for a Dream,"Darren Aronofsky (dir.), Ellen Burstyn, Jared Leto",2000,8.3
84,Toy Story 3,"Lee Unkrich (dir.), Tom Hanks, Tim Allen",2010,8.3
85,Singin' in the Rain,"Stanley Donen (dir.), Gene Kelly, Donald O'Connor",1952,8.3
86,3 Idiots,"Rajkumar Hirani (dir.), Aamir Khan, Madhavan",2009,8.3
87,Tengoku to jigoku,"Akira Kurosawa (dir.), Toshirô Mifune, Yutaka Sada",1963,8.3
88,Star Wars: Episode VI - Return of the Jedi,"Richard Marquand (dir.), Mark Hamill, Harrison Ford",1983,8.3
89,2001: A Space Odyssey,"Stanley Kubrick (dir.), Keir Dullea, Gary Lockwood",1968,8.3
90,Eternal Sunshine of the Spotless Mind,"Michel Gondry (dir.), Jim Carrey, Kate Winslet",2004,8.3
91,Capharnaüm,"Nadine Labaki (dir.), Zain Al Rafeea, Yordanos Shiferaw",2018,8.3
92,Reservoir Dogs,"Quentin Tarantino (dir.), Harvey Keitel, Tim Roth",1992,8.3
93,Jagten,"Thomas Vinterberg (dir.), Mads Mikkelsen, Thomas Bo Larsen",2012,8.3
94,Citizen Kane,"Orson Welles (dir.), Orson Welles, Joseph Cotten",1941,8.3
95,Lawrence of Arabia,"David Lean (dir.), Peter O'Toole, Alec Guinness",1962,8.3
96,M - Eine Stadt sucht einen Mörder,"Fritz Lang (dir.), Peter Lorre, Ellen Widmann",1931,8.3
97,Idi i smotri,"Elem Klimov (dir.), Aleksey Kravchenko, Olga Mironova",1985,8.3
98,North by Northwest,"Alfred Hitchcock (dir.), Cary Grant, Eva Marie Saint",1959,8.2
