,title,actor,year,rating
0,Planet Earth II,"David Attenborough, Gordon Buchanan",2016,9.4
1,Breaking Bad,"Bryan Cranston, Aaron Paul",2008,9.4
2,Planet Earth,"Sigourney Weaver, David Attenborough",2006,9.4
3,Band of Brothers,"Scott Grimes, Damian Lewis",2001,9.4
4,Chernobyl,"Jessie Buckley, Jared Harris",2019,9.3
5,The Wire,"Dominic West, Lance Reddick",2002,9.3
6,Blue Planet II,"David Attenborough, Peter Drost",2017,9.2
7,Avatar: The Last Airbender,"Dee Bradley Baker, Zach Tyler Eisen",2005,9.2
8,Cosmos: A Spacetime Odyssey,"Neil deGrasse Tyson, Christopher Emerson",2014,9.2
9,The Sopranos,"James Gandolfini, Lorraine Bracco",1999,9.2
10,Cosmos,"Carl Sagan, Jaromír Hanzlík",1980,9.2
11,Our Planet,David Attenborough,2019,9.2
12,Game of Thrones,"Emilia Clarke, Peter Dinklage",2011,9.1
13,Rick and Morty,"Justin Roiland, Chris Parnell",2013,9.1
14,The World at War,"Laurence Olivier, Averell Harriman",1973,9.1
15,Hagane no renkinjutsushi,"Kent Williams, Iemasa Kayumi",2009,9.1
16,The Last Dance,"Michael Jordan, Phil Jackson",2020,9.0
17,Life,"Oprah Winfrey, David Attenborough",2009,9.0
18,Sherlock,"Benedict Cumberbatch, Martin Freeman",2010,9.0
19,The Twilight Zone,"Rod Serling, Robert McCord",1959,9.0
20,The Vietnam War,"Peter Coyote, Huy Duc",2017,9.0
21,Batman: The Animated Series,"Kevin Conroy, Loren Lester",1992,9.0
22,Scam 1992: The Harshad Mehta Story,"Pratik Gandhi, Shreya Dhanwanthary",2020,9.0
23,Arcane: League of Legends,"Hailee Steinfeld, Kevin Alejandro",2021,8.9
24,The Blue Planet,"David Attenborough, Pierce Brosnan",2001,8.9
25,Shingeki no Kyojin,"Josh Grelle, Yûki Kaji",2013,8.9
26,The Office,"Steve Carell, Jenna Fischer",2005,8.9
27,Firefly,"Nathan Fillion, Gina Torres",2002,8.9
28,Human Planet,"John Hurt, Roger Munns",2011,8.9
29,Frozen Planet,"David Attenborough, Alec Baldwin",2011,8.9
30,Death Note: Desu nôto,"Mamoru Miyano, Brad Swaile",2006,8.9
31,Only Fools and Horses....,"David Jason, Nicholas Lyndhurst",1981,8.9
32,Hunter x Hunter,"Issei Futamata, Megumi Han",2011,8.9
33,The Civil War,"David McCullough, Sam Waterston",1990,8.9
34,True Detective,"Vince Vaughn, Colin Farrell",2014,8.9
35,Seinfeld,"Jerry Seinfeld, Julia Louis-Dreyfus",1989,8.9
36,The Beatles: Get Back,"The Beatles, John Lennon",2021,8.9
37,Sahsiyet,"Haluk Bilginer, Cansu Dere",2018,8.9
38,Better Call Saul,"Bob Odenkirk, Rhea Seehorn",2015,8.9
39,Dekalog,"Artur Barcis, Olgierd Lukaszewicz",1989,8.9
40,Fargo,"Billy Bob Thornton, Martin Freeman",2014,8.9
41,Clarkson's Farm,"Jeremy Clarkson, Kaleb Cooper",2021,8.9
42,Kaubôi bibappu,"Kôichi Yamadera, Unshô Ishizuka",1998,8.9
43,Nathan for You,"Nathan Fielder, Anthony Filosa",2013,8.8
44,Gravity Falls,"Jason Ritter, Alex Hirsch",2012,8.8
45,When They See Us,"Asante Blackk, Caleel Harris",2019,8.8
46,Last Week Tonight with John Oliver,"John Oliver, David Kaye",2014,8.8
47,Friends,"Jennifer Aniston, Courteney Cox",1994,8.8
48,TVF Pitchers,"Naveen Kasturia, Arunabh Kumar",2015,8.8
49,Africa,"David Attenborough, Simon Blakeney",2013,8.8
50,Apocalypse: La 2ème guerre mondiale,"Mathieu Kassovitz, Martin Sheen",2009,8.8
51,Monty Python's Flying Circus,"Graham Chapman, John Cleese",1969,8.8
52,It's Always Sunny in Philadelphia,"Charlie Day, Rob McElhenney",2005,8.8
53,Taskmaster,"Greg Davies, Alex Horne",2015,8.8
54,Das Boot,"Jürgen Prochnow, Herbert Grönemeyer",1985,8.8
55,Curb Your Enthusiasm,"Larry David, Cheryl Hines",2000,8.8
56,The West Wing,"Martin Sheen, Rob Lowe",1999,8.8
57,Pride and Prejudice,"Colin Firth, Jennifer Ehle",1995,8.8
58,Leyla ile Mecnun,"Ali Atay, Serkan Keskin",2011,8.8
59,Fawlty Towers,"John Cleese, Prunella Scales",1975,8.8
60,Freaks and Geeks,"Linda Cardellini, John Francis Daley",1999,8.8
61,Blackadder Goes Forth,"Rowan Atkinson, Tony Robinson",1989,8.7
62,Twin Peaks,"Kyle MacLachlan, Michael Ontkean",1990,8.7
63,Black Mirror,"Daniel Lapaine, Hannah John-Kamen",2011,8.7
64,Narcos,"Pedro Pascal, Wagner Moura",2015,8.7
65,BoJack Horseman,"Will Arnett, Amy Sedaris",2014,8.7
66,Succession,"Nicholas Braun, Peter Friedman",2018,8.7
67,Chappelle's Show,"Dave Chappelle, Donnell Rawlings",2003,8.7
68,Dragon Ball Z,"Doc Harris, Christopher Sabat",1989,8.7
69,Dragon Ball Z: Doragon bôru zetto,"Jôji Yanami, Kyle Hebert",1989,8.7
70,"I, Claudius","Derek Jacobi, John Hurt",1976,8.7
71,One Piece: Wan pîsu,"Mayumi Tanaka, Laurent Vernin",1999,8.7
72,Gibi,"Feyyaz Yigit, Kivanç Kilinç",2021,8.7
73,South Park,"Trey Parker, Matt Stone",1997,8.7
74,Rome,"Kevin McKidd, Ray Stevenson",2005,8.7
75,Peaky Blinders,"Cillian Murphy, Paul Anderson",2013,8.7
76,Six Feet Under,"Peter Krause, Michael C. Hall",2001,8.7
77,Oz,"Ernie Hudson, J.K. Simmons",1997,8.7
78,Ted Lasso,"Jason Sudeikis, Brett Goldstein",2020,8.7
79,Over the Garden Wall,"Elijah Wood, Collin Dean",2014,8.7
80,Kota Factory,"Mayur More, Jitendra Kumar",2019,8.7
81,Dark,"Louis Hofmann, Karoline Eichhorn",2017,8.7
82,The Mandalorian,"Pedro Pascal, Carl Weathers",2019,8.7
83,Steins;Gate,"Mamoru Miyano, Asami Imai",2011,8.7
84,Arrested Development,"Jason Bateman, Michael Cera",2003,8.7
85,The Boys,"Karl Urban, Jack Quaid",2019,8.7
86,One Punch Man: Wanpanman,"Makoto Furukawa, Kaito Ishikawa",2015,8.7
87,The Simpsons,"Dan Castellaneta, Nancy Cartwright",1989,8.7
88,House M.D.,"Hugh Laurie, Omar Epps",2004,8.7
89,The Shield,"Michael Chiklis, Jay Karnes",2002,8.7
90,Fleabag,"Phoebe Waller-Bridge, Sian Clifford",2016,8.7
91,Battlestar Galactica,"Edward James Olmos, Mary McDonnell",2004,8.7
92,Sarabhai V/S Sarabhai,"Satish Shah, Ratna Pathak Shah",2004,8.6
93,Stranger Things,"Millie Bobby Brown, Finn Wolfhard",2016,8.6
94,Downton Abbey,"Hugh Bonneville, Phyllis Logan",2010,8.6
95,Gullak,"Jameel Khan, Geetanjali Kulkarni",2019,8.6
96,Invincible,"Steven Yeun, J.K. Simmons",2021,8.6
97,Mad Men,"Jon Hamm, Elisabeth Moss",2007,8.6
98,Panchayat,"Jitendra Kumar, Raghuvir Yadav",2020,8.6
99,Vinland Saga,"Zach Aguilar, William Christopher Stephens",2019,8.6
100,Peep Show,"David Mitchell, Robert Webb",2003,8.6
101,The Marvelous Mrs. Maisel,"Rachel Brosnahan, Alex Borstein",2017,8.6
102,Severance,"Adam Scott, Zach Cherry",2022,8.6
103,House of Cards,"Kevin Spacey, Michel Gill",2013,8.6
104,Star Trek: The Next Generation,"Patrick Stewart, Brent Spiner",1987,8.6
105,The Adventures of Sherlock Holmes,"Jeremy Brett, David Burke",1984,8.6
106,The Crown,"Claire Foy, Olivia Colman",2016,8.6
107,Friday Night Lights,"Kyle Chandler, Connie Britton",2006,8.6
108,Top Gear,"Jeremy Clarkson, Richard Hammond",2002,8.6
109,The Grand Tour,"Jeremy Clarkson, James May",2016,8.6
110,Kenpuu Denki Berserk,"Marc Diraison, Nobutoshi Canna",1997,8.6
111,The Thick of It,"Chris Addison, James Smith",2005,8.6
112,1883,"Sam Elliott, Tim McGraw",2021,8.6
113,Justice League Unlimited,"George Newbern, Kevin Conroy",2004,8.6
114,Line of Duty,"Martin Compston, Vicky McClure",2012,8.6
115,Mahabharat,"Harish Bhimani, Nitish Bharadwaj",1988,8.6
116,Deadwood,"Timothy Olyphant, Ian McShane",2004,8.6
117,The X Files,"David Duchovny, Gillian Anderson",1993,8.6
118,Dexter,"Michael C. Hall, Jennifer Carpenter",2006,8.6
119,Parks and Recreation,"Amy Poehler, Jim O'Heir",2009,8.6
120,Father Ted,"Dermot Morgan, Ardal O'Hanlon",1995,8.6
121,Aspirants,"Naveen Kasturia, Shivankit Singh Parihar",2021,8.6
122,The Jinx: The Life and Deaths of Robert Durst,"Andrew Jarecki, Robert Durst",2015,8.6
123,This Is Us,"Milo Ventimiglia, Mandy Moore",2016,8.6
124,Naruto: Shippûden,"Alexandre Crepet, Junko Takeuchi",2007,8.6
125,Behzat Ç.: Bir Ankara Polisiyesi,"Erdal Besikçioglu, Inanç Konukçu",2010,8.6
126,Blackadder II,"Rowan Atkinson, Tony Robinson",1986,8.6
127,Kôdo giasu - Hangyaku no rurûshu: Code Geass - Lelouch of the Rebellion,"Jun Fukuyama, Takahiro Sakurai",2006,8.6
128,Bron/Broen,"Sofia Helin, Rafael Pettersson",2011,8.6
129,Primal,"Aaron LaPlante, Laëtitia Eïdo",2019,8.6
130,Heartstopper,"Joe Locke, Kit Connor",2022,8.6
131,Atlanta,"Donald Glover, Brian Tyree Henry",2016,8.6
132,Kimetsu no Yaiba,"Natsuki Hanae, Zach Aguilar",2019,8.6
133,Daredevil,"Charlie Cox, Vincent D'Onofrio",2015,8.6
134,The Rehearsal,"Nathan Fielder, Journey Baker",2022,8.6
135,It's a Sin,"Olly Alexander, Nathaniel Curtis",2021,8.6
136,Archer,"H. Jon Benjamin, Judy Greer",2009,8.6
137,Mystery Science Theater 3000,"Joel Hodgson, Michael J. Nelson",1988,8.6
138,Yeh Meri Family,"Vishesh Bansal, Mona Singh",2018,8.6
139,Ramayan,"Arun Govil, Deepika Chikhalia",1987,8.6
140,Young Justice,"Nolan North, Danica McKellar",2010,8.6
141,Critical Role,"Matthew Mercer, Marisha Ray",2015,8.6
142,Gomorra: La serie,"Salvatore Esposito, Marco D'Amore",2014,8.6
143,Blackadder the Third,"Rowan Atkinson, Tony Robinson",1987,8.6
144,Lonesome Dove,"Robert Duvall, Tommy Lee Jones",1989,8.6
145,Monster,"Hidenobu Kiuchi, Liam O'Brien",2004,8.6
146,The Return of Sherlock Holmes,"Jeremy Brett, Edward Hardwicke",1986,8.6
147,Adventure Time,"John DiMaggio, Jeremy Shada",2010,8.6
148,Yellowstone,"Kevin Costner, Luke Grimes",2018,8.6
149,Mindhunter,"Jonathan Groff, Holt McCallany",2017,8.5
150,Haikyuu!!,"Ayumu Murase, Kaito Ishikawa",2014,8.5
151,QI,"Alan Davies, Stephen Fry",2003,8.5
152,Anne,"Amybeth McNulty, Geraldine James",2017,8.5
153,Mr. Bean,"Rowan Atkinson, Robin Driscoll",1990,8.5
154,Making a Murderer,"Steven Avery, Dolores Avery",2015,8.5
155,Dopesick,"Michael Keaton, Peter Sarsgaard",2021,8.5
156,Yes Minister,"Paul Eddington, Nigel Hawthorne",1980,8.5
157,Poirot,"David Suchet, Hugh Fraser",1989,8.5
158,The Eric Andre Show,"Eric André, Hannibal Buress",2012,8.5
159,Justified,"Timothy Olyphant, Nick Searcy",2010,8.5
160,Boardwalk Empire,"Steve Buscemi, Kelly Macdonald",2010,8.5
161,The Haunting of Hill House,"Michiel Huisman, Carla Gugino",2018,8.5
162,The Newsroom,"Jeff Daniels, Emily Mortimer",2012,8.5
163,The Bugs Bunny Show,"Mel Blanc, Pinto Colvig",1960,8.5
164,The Queen's Gambit,"Anya Taylor-Joy, Chloe Pirrie",2020,8.5
165,Impractical Jokers,"James Murray, Brian Quinn",2011,8.5
166,Formula 1: Drive to Survive,"Will Buxton, Jack Nicholls",2019,8.5
167,Pose,"Michaela Jaé (MJ) Rodriguez, Dominique Jackson",2018,8.5
168,Flight of the Conchords,"Jemaine Clement, Bret McKenzie",2007,8.5
169,Dragon Ball: Doragon bôru,"Masako Nozawa, Jôji Yanami",1986,8.5
170,Justice League,"Carl Lumbly, Phil LaMarr",2001,8.5
171,Sa-rang-eui bul-sa-chak,"Hyun Bin, Son Ye-jin",2019,8.5
172,Coupling,"Jack Davenport, Gina Bellman",2000,8.5
173,Dragon Ball,"Brice Armstrong, Steve Olson",1995,8.5
174,The Venture Bros.,"Christopher McCulloch, James Urbaniak",2003,8.5
175,Spaced,"Simon Pegg, Jessica Hynes",1999,8.5
176,The Offer,"Miles Teller, Matthew Goode",2022,8.5
177,Homicide: Life on the Street,"Richard Belzer, Clark Johnson",1993,8.5
178,Battlestar Galactica,"Edward James Olmos, Mary McDonnell",2003,8.5
179,Long Way Round,"Ewan McGregor, Charley Boorman",2004,8.5
180,Le Bureau des Légendes,"Mathieu Kassovitz, Florence Loiret Caille",2015,8.5
181,Senke nad Balkanom,"Andrija Kuzmanovic, Marija Bergam",2017,8.5
182,House of the Dragon,"Rhys Ifans, Matt Smith",2022,8.5
183,The Family Man,"Manoj Bajpayee, Samantha Ruth Prabhu",2019,8.5
184,What We Do in the Shadows,"Kayvan Novak, Matt Berry",2019,8.5
185,"Yes, Prime Minister","Paul Eddington, Nigel Hawthorne",1986,8.5
186,The IT Crowd,"Chris O'Dowd, Richard Ayoade",2006,8.5
187,Samurai chanpurû,"Kazuya Nakai, Ginpei Sato",2004,8.5
188,Louie,"Louis C.K., Hadley Delany",2010,8.5
189,Westworld,"Evan Rachel Wood, Jeffrey Wright",2016,8.5
190,I'm Alan Partridge,"Steve Coogan, Simon Greenall",1997,8.5
191,The Office,"Ricky Gervais, Martin Freeman",2001,8.5
192,Mr. Robot,"Rami Malek, Christian Slater",2015,8.5
193,Letterkenny,"Jared Keeso, Nathan Dales",2016,8.5
194,Through the Wormhole,"Morgan Freeman, Sean Carroll",2010,8.5
195,Whose Line Is It Anyway?,"Drew Carey, Colin Mochrie",1998,8.5
196,Shameless,"Emmy Rossum, William H. Macy",2011,8.5
197,Samurai Jack,"Phil LaMarr, Mako",2001,8.5
198,Spartacus: Blood and Sand,"Andy Whitfield, Lucy Lawless",2010,8.5
199,Brass Eye,"Christopher Morris, Mark Heap",1997,8.5
200,Ezel,"Kenan Imirzalioglu, Cansu Dere",2009,8.5
201,Skam,"Josefine Frida Pettersen, Iman Meskini",2015,8.5
202,North & South,"Daniela Denby-Ashe, Richard Armitage",2004,8.5
203,Doctor Who,"Jodie Whittaker, Peter Capaldi",2005,8.5
204,Sons of Anarchy,"Charlie Hunnam, Katey Sagal",2008,8.5
205,I-sang-han byeon-ho-sa U-yeong-u,"Park Eun-bin, Kang Tae-oh",2022,8.5
206,Hagane no renkinjutsushi,"Vic Mignogna, Aaron Dismuke",2003,8.5
207,Shin seiki evangerion,"Megumi Ogata, Megumi Hayashibara",1995,8.5
208,Detectorists,"Mackenzie Crook, Toby Jones",2014,8.5
209,Jujutsu Kaisen,"Junya Enoki, Adam McArthur",2020,8.5
210,Silicon Valley,"Thomas Middleditch, T.J. Miller",2014,8.5
211,Endeavour,"Shaun Evans, Roger Allam",2012,8.5
212,Trailer Park Boys,"John Paul Tremblay, Robb Wells",2001,8.5
213,From the Earth to the Moon,"Tom Hanks, Nick Searcy",1998,8.5
214,Twin Peaks,"Kyle MacLachlan, Sheryl Lee",2017,8.5
215,Spartacus: Gods of the Arena,"John Hannah, Manu Bennett",2011,8.5
216,Mob Psycho 100,"Setsuo Ito, Takahiro Sakurai",2016,8.5
217,Rurouni Kenshin: Meiji Kenkaku Romantan: Tsuioku Hen,"Mayo Suzukaze, Junko Iwao",1999,8.5
218,Futurama,"Billy West, John DiMaggio",1999,8.5
219,Cobra Kai,"Ralph Macchio, William Zabka",2018,8.5
220,Umbre,"Serban Pavlu, Maria Obretin",2014,8.5
221,Hannibal,"Hugh Dancy, Mads Mikkelsen",2013,8.5
222,Community,"Joel McHale, Danny Pudi",2009,8.4
223,Schitt's Creek,"Eugene Levy, Catherine O'Hara",2015,8.4
224,The Expanse,"Steven Strait, Dominique Tipper",2015,8.4
225,Chef's Table,"Massimo Bottura, Ruth Reichl",2015,8.4
226,Generation Kill,"Alexander Skarsgård, James Ransone",2008,8.4
227,The Angry Video Game Nerd,"James Rolfe, Mike Matei",2004,8.4
228,Regular Show,"J.G. Quintel, William Salyers",2009,8.4
229,Mr Inbetween,"Scott Ryan, Chika Yasumura",2018,8.4
230,The Night Of,"Riz Ahmed, John Turturro",2016,8.4
231,L'amica geniale,"Alba Rohrwacher, Margherita Mazzucco",2018,8.4
232,Wentworth,"Kate Atkinson, Katrina Milosevic",2013,8.4
233,Alfred Hitchcock Presents,"Alfred Hitchcock, Harry Tyler",1955,8.4
234,The Great British Bake Off,"Paul Hollywood, Mary Berry",2010,8.4
235,Big Little Lies,"Reese Witherspoon, Nicole Kidman",2017,8.4
236,Shigatsu wa kimi no uso,"Natsuki Hanae, Risa Taneda",2014,8.4
237,The Knick,"André Holland, Clive Owen",2014,8.4
238,Content Cop,"Ian Washburn, Calvin Vail",2015,8.4
239,Queer Eye,"Antoni Porowski, Jonathan Van Ness",2018,8.4
240,Southland,"Michael Cudlitz, Shawn Hatosy",2009,8.4
241,Avrupa Yakasi,"Gülse Birsel, Levent Üzümcü",2004,8.4
242,Black Books,"Dylan Moran, Bill Bailey",2000,8.4
243,X-Men,"Cedric Smith, Cal Dodd",1992,8.4
244,John Adams,"Paul Giamatti, Laura Linney",2008,8.4
245,The Defiant Ones,"Bono, Stevie Nicks",2017,8.4
246,Garth Marenghi's Darkplace,"Richard Ayoade, Matt Berry",2004,8.4
247,The Punisher,"Jon Bernthal, Amber Rose Revah",2017,8.4
248,Foyle's War,"Michael Kitchen, Honeysuckle Weeks",2002,8.4
249,Mare of Easttown,"Kate Winslet, Julianne Nicholson",2021,8.4
